Areaname,STCOU,AGE050200D,AGE130209D,AGE160209D,AGE230209D,AGE260209D,AGE290209D,AGE340209D,AGE370209D,AGE430209D,AGE460209D,AGE530209D,AGE560209D,AGE630209D,AGE660209D,AGE690209D,AGE730209D,AGE800209D,AGE830209D,AGE870209D,AGE900209D
UNITED STATES,00000,35.3,21299656,20609634,19973564,21537837,74548215,21539559,21677719,19888603,20538351,20991605,22831092,21761391,18975026,15811923,11784320,9007747,7325528,5822334,5630661
ALABAMA,01000,35.8,315210,311229,308117,328967,1128864,330590,325093,294278,307170,308968,340952,333898,297147,256040,197607,155330,123565,92489,82058
"Autauga, AL",01001,35.1,3537,3859,4180,3918,14108,2847,2987,3030,3748,3985,3999,3487,2779,2524,2080,1566,1053,678,499
"Baldwin, AL",01003,39,11525,11305,11522,11450,41578,9710,10751,10213,11496,11740,13289,13070,11769,11428,9837,7505,5774,4132,3362
"Barbour, AL",01005,35.8,1858,1778,1785,2006,6638,2187,2127,1871,2167,2026,2160,1938,1941,1791,1276,951,741,583,551
"Bibb, AL",01007,34.7,1283,1394,1411,1456,5036,1341,1553,1539,1623,1617,1525,1448,1297,1196,936,689,532,372,375
"Blount, AL",01009,36.4,3702,3869,4109,3736,14118,3347,3691,3665,4093,4311,4194,3962,3704,3372,2785,2210,1623,1051,921
"Bullock, AL",01011,35,879,719,687,721,2700,785,977,868,741,707,811,716,676,517,367,250,194,167,203
"Butler, AL",01013,37.7,1412,1350,1330,1327,4948,1214,1315,1046,1108,1132,1411,1486,1438,1164,903,692,607,513,516
"Calhoun, AL",01015,37.2,7599,7410,7234,7549,26654,7353,8091,7555,6874,7121,8003,8219,7500,6421,5024,4127,3472,2446,2083
"Chambers, AL",01017,37.7,2046,2078,2234,2152,7710,1787,2126,2052,2221,2230,2453,2542,2424,2216,1670,1327,1062,815,885
"Cherokee, AL",01019,40,1260,1426,1496,1408,5109,1135,1445,1392,1577,1661,1731,1790,1754,1836,1516,1149,798,566,508
"Chilton, AL",01021,35.9,2852,2799,3010,2892,10528,2482,2917,3000,2964,2973,3112,3065,2748,2412,1935,1393,1106,720,591
"Choctaw, AL",01023,37.9,834,876,960,922,3266,725,741,693,814,897,1016,1099,1028,943,793,572,420,362,295
"Clarke, AL",01025,35.5,1574,1836,2013,1892,6618,1426,1468,1334,1652,1751,1990,1851,1615,1495,1282,1014,800,529,520
"Clay, AL",01027,38.7,721,767,855,892,2908,718,766,752,857,962,996,1009,962,883,722,553,453,390,382
"Cleburne, AL",01029,37.5,904,930,894,1043,3388,764,951,872,1053,1007,1131,1013,1050,908,763,530,441,297,208
"Coffee, AL",01031,37.2,3261,3157,3229,3124,11681,3042,3928,3449,3286,3168,3193,3271,2847,2743,2026,1704,1350,955,902
"Colbert, AL",01033,38.7,3137,3177,3445,3609,12037,3040,3545,3088,3417,3600,4129,4236,3729,3319,2792,2169,1662,1314,1231
"Conecuh, AL",01035,38,802,777,826,903,2989,689,663,665,695,842,880,1049,932,912,728,525,393,349,301
"Coosa, AL",01037,37.7,482,579,633,653,2100,506,640,482,677,726,815,919,840,771,590,451,345,240,207
"Covington, AL",01039,39.8,2311,2300,2222,2295,8277,2035,2307,1864,2058,2373,2583,2752,2432,2264,1905,1668,1357,958,994
"Crenshaw, AL",01041,38.8,856,920,957,929,3339,780,812,803,845,860,986,1004,931,872,629,515,410,325,347
"Cullman, AL",01043,37.5,5202,5328,5208,5186,19084,4674,5620,5274,5272,5423,5893,5932,5169,4837,3944,3156,2353,1800,1507
"Dale, AL",01045,34.3,3670,3349,3108,3073,11984,3460,4188,3233,2987,2844,3173,3268,2855,2668,1930,1554,1205,784,798
"Dallas, AL",01047,35.3,3290,3237,2894,3131,11337,2660,2611,2062,2302,2438,3038,3112,2733,2206,1806,1448,1268,928,761
"DeKalb, AL",01049,36.3,5159,4964,4626,4588,17719,3668,4657,4526,4753,4603,4883,4835,4191,4024,2990,2470,1891,1296,1256
"Elmore, AL",01051,35.3,5295,5315,5258,5383,19280,5127,5293,5359,6093,5768,6067,5639,4796,4264,3177,2348,1688,1205,1158
"Escambia, AL",01053,36.9,2369,2401,2346,2479,8592,2391,2644,2297,2601,2463,2779,2568,2353,2065,1727,1377,1066,788,720
"Etowah, AL",01055,38.3,6473,6676,6812,6688,24190,5893,6595,6033,6809,6799,7166,7481,7109,6342,4862,3873,3248,2549,2237
"Fayette, AL",01057,39,893,1063,1171,1172,3844,1014,975,919,1144,1134,1253,1228,1257,1135,934,684,553,429,413
"Franklin, AL",01059,36.7,2439,2202,1928,1975,7835,1845,2009,2029,2096,2025,2174,2059,1921,1729,1375,1137,903,665,580
"Geneva, AL",01061,39.3,1524,1494,1589,1612,5618,1516,1661,1314,1599,1750,1876,1893,1863,1724,1417,1058,837,661,573
"Greene, AL",01063,35.9,562,628,660,653,2243,551,525,418,430,485,582,775,685,516,396,287,254,218,204
"Hale, AL",01065,34.4,1072,1212,1339,1332,4476,1176,1310,1155,1148,1164,1427,1198,1119,899,691,519,478,384,352
"Henry, AL",01067,39.3,961,1126,1116,1028,3870,846,967,877,1085,1126,1115,1189,1191,1213,827,651,506,435,388
"Houston, AL",01069,36.7,6878,6969,6556,6467,24528,5840,6627,6177,6365,6495,7196,6909,6226,5572,4528,3843,3114,2249,2074
"Jackson, AL",01071,37.6,3051,3312,3368,3416,11955,2725,3146,3206,3685,3565,3879,3908,3617,3443,2797,2248,1509,1054,909
"Jefferson, AL",01073,36,46249,43718,41707,43673,158005,43674,50352,47235,43690,41872,47561,48401,43338,33315,24429,19796,17295,14833,13889
"Lamar, AL",01075,38.2,832,866,834,833,3043,739,858,761,917,947,1058,1081,936,948,744,666,483,342,355
"Lauderdale, AL",01077,37.6,4945,5162,5395,5802,18821,6153,6216,5625,5369,5694,6294,6401,5872,5376,4512,3640,2919,2258,1966
"Lawrence, AL",01079,35.9,2065,2048,2214,2324,7810,1909,2141,1984,2407,2644,2832,2518,2313,2109,1632,1123,842,548,453
"Lee, AL",01081,27.5,8224,7881,8269,13978,29558,24959,9310,5892,8802,8134,8430,7751,6612,5664,3936,2845,2285,1542,1369
"Limestone, AL",01083,35.8,5079,5143,5314,4849,18681,4563,5576,5418,5824,6159,6326,5707,4908,4330,3180,2375,1718,1138,965
"Lowndes, AL",01085,33.9,846,847,905,887,3128,794,748,569,637,820,1003,938,882,685,540,428,337,246,181
"Macon, AL",01087,32,1154,1106,1254,2543,4379,3308,865,643,1138,1115,1318,1384,1409,1152,948,756,655,538,503
"Madison, AL",01089,35.7,21156,21050,22202,24195,78451,22861,23179,20333,21129,23515,27582,24024,19455,15882,12371,10688,8344,5411,4367
