Area_name,STCOU,HSG030210D,HSG171209D,HSG172209D,HSG173209D,HSG174209D,HSG175209D,HSG176209D,HSG177209D,HSG178209D,HSG179209D,HSG180209D
UNITED STATES,0,131704730,1776810,3547901,11579648,21747816,27129591,23878311,15786080,10550524,11703031,5.4
ALABAMA,1000,2171853,11565,30589,134835,358988,524469,461486,278106,167998,171934,5.5
"Autauga, AL",1001,22135,0,125,876,2404,4436,5135,2993,2166,1747,5.9
"Baldwin, AL",1003,104061,473,1769,8200,18246,24091,20498,12396,7220,6752,5.4
"Barbour, AL",1005,11829,7,248,874,2300,3527,2843,1453,1045,659,5.4
"Bibb, AL",1007,8981,3,176,508,1364,2587,1891,1127,287,763,5.4
"Blount, AL",1009,23887,27,52,875,3156,6651,5276,2911,1491,1496,5.5
"Bullock, AL",1011,4493,0,34,473,730,1567,1092,643,196,115,5.3
"Butler, AL",1013,9964,67,163,580,1598,2813,2540,1321,717,594,5.5
"Calhoun, AL",1015,53289,418,539,3093,9347,13188,12243,7126,3735,3864,5.5
"Chambers, AL",1017,17004,41,217,881,3189,5101,3782,1850,1181,604,5.3
"Cherokee, AL",1019,16267,156,381,836,3423,4019,2904,1528,800,643,5.1
"Chilton, AL",1021,19278,88,148,988,3159,5495,3894,2616,1350,974,5.4
"Choctaw, AL",1023,7269,2,82,404,1388,2556,1637,880,694,466,5.4
"Clarke, AL",1025,12638,94,173,406,2551,3645,2785,1699,900,833,5.4
"Clay, AL",1027,6776,60,2,362,1400,2124,1337,744,404,320,5.2
"Cleburne, AL",1029,6718,0,27,560,1166,2116,1046,666,456,425,5.2
"Coffee, AL",1031,22330,30,266,971,3887,4881,5078,3308,1708,1688,5.7
"Colbert, AL",1033,25758,92,303,1006,4006,7087,6328,3901,1823,1776,5.6
"Conecuh, AL",1035,7093,16,28,432,1071,1620,1981,1466,485,393,5.8
"Coosa, AL",1037,6478,23,121,329,1411,1553,1300,808,459,360,5.3
"Covington, AL",1039,18829,71,149,833,3436,5017,4838,2259,1295,1229,5.5
"Crenshaw, AL",1041,6735,13,68,509,1193,2064,1621,785,350,283,5.3
"Cullman, AL",1043,37054,164,367,1890,6947,10186,8004,4084,2341,2663,5.4
"Dale, AL",1045,22677,136,214,1273,4316,6221,5431,2772,1384,925,5.4
"Dallas, AL",1047,20208,471,367,1230,4027,5406,4023,2429,1475,1562,5.3
"DeKalb, AL",1049,31109,138,219,1516,6055,8713,6422,2939,1798,1455,5.3
"Elmore, AL",1051,32657,117,272,1113,4153,7084,6478,4231,2914,2467,5.8
"Escambia, AL",1053,16486,110,130,719,2308,4576,4343,2514,1033,1291,5.7
"Etowah, AL",1055,47454,174,584,2460,7427,12463,11449,6138,3581,4028,5.6
"Fayette, AL",1057,8437,122,94,499,1315,2663,1830,1350,435,481,5.4
"Franklin, AL",1059,14022,37,73,1120,2645,3733,2654,1811,1011,1029,5.4
"Geneva, AL",1061,12687,36,29,470,1885,3692,3678,1487,630,574,5.5
"Greene, AL",1063,5007,76,123,441,1121,1808,766,429,289,239,5
"Hale, AL",1065,7655,52,95,510,1948,2449,1520,936,389,366,5.1
"Henry, AL",1067,8891,11,57,416,1673,2205,1946,1194,549,337,5.4
"Houston, AL",1069,45319,118,480,2294,6799,11907,10107,5567,3075,3015,5.5
"Jackson, AL",1071,24786,104,168,1557,4865,7107,5263,3221,1526,1407,5.3
"Jefferson, AL",1073,300552,1690,3784,21008,53838,62895,65176,42396,26568,30329,5.7
"Lamar, AL",1075,7354,50,28,344,1252,2530,1755,1002,324,433,5.4
"Lauderdale, AL",1077,43791,104,596,2213,6489,11092,9522,5396,2929,3770,5.6
"Lawrence, AL",1079,15229,29,118,410,2573,4085,3593,1835,1641,1278,5.7
"Lee, AL",1081,62391,412,2690,5798,12069,13902,11331,6280,3946,4070,5.2
"Limestone, AL",1083,34977,251,429,1255,4366,7463,5798,3907,2704,2808,5.6
"Lowndes, AL",1085,5140,161,30,363,1045,1710,1309,536,472,293,5.3
"Macon, AL",1087,10259,224,165,952,1840,2676,2131,1274,801,903,5.4
"Madison, AL",1089,146447,1107,2902,10041,17338,26785,26900,20376,14317,18198,5.9
"Marengo, AL",1091,10237,0,135,741,1453,3191,2594,1167,716,453,5.4
"Marion, AL",1093,14737,10,214,805,2861,4851,3089,1458,989,699,5.2
"Marshall, AL",1095,40342,137,442,2091,7346,9745,8334,4045,3173,2970,5.4
"Mobile, AL",1097,178196,995,3199,11642,25765,41771,42693,26039,14584,12087,5.6
"Monroe, AL",1099,11333,19,50,520,1835,3161,2597,1667,934,963,5.6
"Montgomery, AL",1101,101641,652,1583,8089,14947,22601,22585,14417,8785,8400,5.6
"Morgan, AL",1103,51193,58,619,3282,8201,11722,11346,7143,3597,4300,5.6
"Perry, AL",1105,4737,111,0,250,1066,1582,1392,551,260,350,5.4
"Pickens, AL",1107,9483,24,163,734,1644,2913,2149,1212,492,498,5.3
"Pike, AL",1109,15267,127,277,992,3151,4328,2889,1333,953,845,5.2
"Randolph, AL",1111,11982,83,107,466,1993,3011,2430,1207,609,712,5.4
"Russell, AL",1113,24595,58,334,2141,6324,7054,4809,2978,1094,874,5.1
"St. Clair, AL",1115,35541,128,234,893,4735,8702,7137,4488,2424,2358,5.6
"Shelby, AL",1117,80970,163,894,3788,9631,14269,13832,10578,10028,13340,6.2
"Sumter, AL",1119,6786,106,104,723,1357,2170,1526,535,344,316,5.1
"Talladega, AL",1121,37088,115,311,1937,6411,9938,7927,5069,2385,2217,5.4
"Tallapoosa, AL",1123,22111,116,362,1244,4032,6187,4661,2001,1305,1351,5.3
"Tuscaloosa, AL",1125,84872,631,1980,8030,15521,19368,15310,8575,6040,5964,5.3
"Walker, AL",1127,30816,203,235,1462,6423,9661,7661,3933,2335,1731,5.4
"Washington, AL",1129,8407,91,90,241,1251,2680,1874,1031,849,319,5.4
"Wilcox, AL",1131,5649,21,54,247,1082,2107,1146,880,416,490,5.4
"Winston, AL",1133,13469,142,117,629,3240,3968,2027,1215,792,792,5.1
ALASKA,2000,306967,13106,21048,38312,56360,52625,37542,26539,16525,18129,4.7
"Aleutians East, AK",2013,747,14,50,94,152,126,94,23,19,9,4.4
"Aleutians West, AK",2016,1929,96,89,125,509,637,149,53,10,38,4.6
