Areaname,STCOU,RHI100210D,RHI200210D,RHI300210D,RHI400210D,RHI500210D,RHI600210D,RHI700210D,RHI800210D
UNITED STATES,00000,223553265,38929319,2932248,14674252,540013,9009073,50477594,196817552
ALABAMA,01000,3275394,1251311,28218,53595,3057,71251,185602,3204402
"Autauga, AL",01001,42855,9643,232,474,32,869,1310,42154
"Baldwin, AL",01003,156153,17105,1216,1348,89,2723,7992,152200
"Barbour, AL",01005,13180,12875,114,107,29,258,1387,12837
"Bibb, AL",01007,17381,5047,64,22,13,203,406,17191
"Blount, AL",01009,53068,761,307,117,38,684,4626,50952
"Bullock, AL",01011,2507,7666,23,20,43,86,777,2392
"Butler, AL",01013,11399,9095,60,177,7,161,191,11324
"Calhoun, AL",01015,88840,24382,540,845,96,1975,3893,87285
"Chambers, AL",01017,20112,13257,69,168,10,385,536,19893
"Cherokee, AL",01019,24081,1208,135,54,1,387,320,23929
"Chilton, AL",01021,36713,4230,155,130,55,506,3420,35395
"Choctaw, AL",01023,7731,6012,18,12,0,58,73,7700
"Clarke, AL",01025,14070,11336,103,77,4,176,271,13943
"Clay, AL",01027,11380,2066,55,24,0,235,399,11186
"Cleburne, AL",01029,14079,498,51,23,10,160,307,13956
"Coffee, AL",01031,37330,8359,645,644,100,1247,3180,36134
"Colbert, AL",01033,43789,8768,267,229,20,845,1093,43334
"Conecuh, AL",01035,6788,6149,44,17,1,132,161,6764
"Coosa, AL",01037,7648,3582,40,16,15,103,230,7604
"Covington, AL",01039,32022,4716,214,155,1,522,483,31751
"Crenshaw, AL",01041,10097,3254,57,189,8,202,204,10020
"Cullman, AL",01043,76133,856,408,343,18,889,3454,74568
"Dale, AL",01045,37236,9679,371,534,44,1505,2821,35705
"Dallas, AL",01047,12769,30423,85,149,11,299,309,12676
"DeKalb, AL",01049,60087,1078,969,203,147,1574,9690,57997
"Elmore, AL",01051,60455,15900,285,518,63,1144,2129,59449
"Escambia, AL",01053,23784,12220,1288,92,12,580,718,23508
"Etowah, AL",01055,83823,15796,448,672,171,1545,3447,82789
"Fayette, AL",01057,14910,1969,52,37,0,171,204,14832
"Franklin, AL",01059,26320,1228,215,63,10,530,4710,25249
"Geneva, AL",01061,23127,2539,224,67,8,416,920,22692
"Greene, AL",01063,1575,7370,17,15,0,43,69,1562
"Hale, AL",01065,6266,9301,25,35,1,88,140,6213
"Henry, AL",01067,11865,4942,57,54,2,176,389,11731
"Houston, AL",01069,71053,26176,446,820,49,1759,2995,69731
"Jackson, AL",01071,48348,1781,719,185,48,1378,1339,47937
"Jefferson, AL",01073,349166,276525,1740,9158,244,7275,25488,340213
"Lamar, AL",01075,12626,1643,24,4,2,183,180,12542
"Lauderdale, AL",01077,80112,9257,338,685,34,1306,2082,79228
"Lawrence, AL",01079,26647,3938,1953,42,6,1478,574,26420
"Lee, AL",01081,100006,31901,445,3658,105,2259,4571,97900
"Limestone, AL",01083,66506,10429,547,924,42,1468,4591,65112
"Lowndes, AL",01085,2859,8310,25,14,0,60,87,2841
"Macon, AL",01087,3319,17729,29,76,2,228,232,3267
"Madison, AL",01089,228280,80376,2551,8265,365,8255,15404,221445
"Marengo, AL",01091,9751,10872,34,53,13,164,352,9607
"Marion, AL",01093,28791,1184,101,54,14,341,632,28509
"Marshall, AL",01095,81464,1494,706,478,103,1564,11238,78060
"Mobile, AL",01097,248647,142992,3681,7561,204,6022,9936,243904
"Monroe, AL",01099,12718,9614,260,67,9,334,220,12621
"Montgomery, AL",01101,90656,125477,589,4821,171,2906,8314,88099
"Morgan, AL",01103,95404,14185,1042,691,107,2364,9156,92585
"Perry, AL",01105,3204,7276,17,30,5,43,114,3142
"Pickens, AL",01107,11110,8211,28,36,1,232,313,11027
"Pike, AL",01109,19144,12054,192,654,24,490,730,18887
