CATEGORY,US
TRAIN CASES SCORES,0.9643834368646506
TRAIN DEATHS SCORES,0.9804386053158296
TEST CASES SCORES,0.9514066948331464
TEST DEATHS SCORES,0.9707637539026354
TOP CASES WEIGHT #1,"('Total_Labor_Force', 3023033417602936.0)"
TOP CASES WEIGHT #2,"('PCT_Black_Alone', -3013793100379907.0)"
TOP CASES WEIGHT #3,"('Employed', -2900264116917491.5)"
TOP CASES WEIGHT #4,"('PCT_Not_Hispanic_White_Alone', -2459536191852516.0)"
TOP CASES WEIGHT #5,"('PCT_Hispanic_Latino_Origin', -2227302582726895.5)"
TOP CASES WEIGHT #6,"('PCT_White_Alone', -1770300389517232.5)"
TOP CASES WEIGHT #7,"('PCT_AmericanIndian_AlaskaNative_Alone', -1436857527752630.5)"
TOP CASES WEIGHT #8,"('PCT_Population_20_24', 809612925878393.2)"
TOP CASES WEIGHT #9,"('PCT_Asian_Alone', -473661657824053.56)"
TOP CASES WEIGHT #10,"('PCT_Population_25_29', 407853519238698.1)"
TOP DEATHS WEIGHT #1,"('Total_Labor_Force', -158588346500465.9)"
TOP DEATHS WEIGHT #2,"('PCT_Black_Alone', 158103599417941.28)"
TOP DEATHS WEIGHT #3,"('Employed', 152147868441770.25)"
TOP DEATHS WEIGHT #4,"('PCT_Not_Hispanic_White_Alone', 129027279537373.78)"
TOP DEATHS WEIGHT #5,"('PCT_Hispanic_Latino_Origin', 116844303372252.03)"
TOP DEATHS WEIGHT #6,"('PCT_White_Alone', 92869966288803.22)"
TOP DEATHS WEIGHT #7,"('PCT_AmericanIndian_AlaskaNative_Alone', 75377552281154.33)"
TOP DEATHS WEIGHT #8,"('PCT_Population_20_24', -42472297683779.195)"
TOP DEATHS WEIGHT #9,"('PCT_Asian_Alone', 24848292671060.21)"
TOP DEATHS WEIGHT #10,"('PCT_Population_25_29', -21395997428884.832)"
Records Used,83632
Counties Used,2842
