CATEGORY,US
TRAIN CASES SCORES,0.9747567689023201
TRAIN DEATHS SCORES,0.9854594770490955
TEST CASES SCORES,0.895456137111839
TEST DEATHS SCORES,0.7951578874245749
TOP CASES WEIGHT #1,"('Total_Labor_Force', 9667592670226018.0)"
TOP CASES WEIGHT #2,"('Employed', -9275004056592738.0)"
TOP CASES WEIGHT #3,"('PCT_Population_20_24', -7772848414257398.0)"
TOP CASES WEIGHT #4,"('DOMESTIC_MIG_2018', -4463790293911354.0)"
TOP CASES WEIGHT #5,"('PCT_Population_25_29', -3957801212654070.0)"
TOP CASES WEIGHT #6,"('PCT_Population_0_5', -3558605463844122.5)"
TOP CASES WEIGHT #7,"('PCT_Population_30_34', -3523390441152852.0)"
TOP CASES WEIGHT #8,"('NET_MIG_2018', 3391271157330923.0)"
TOP CASES WEIGHT #9,"('PCT_Population_60_64', -3236354236487002.0)"
TOP CASES WEIGHT #10,"('PCT_Population_15_19', -3185973338006177.5)"
TOP DEATHS WEIGHT #1,"('Total_Labor_Force', 791710543603605.2)"
TOP DEATHS WEIGHT #2,"('Employed', -759560187737835.8)"
TOP DEATHS WEIGHT #3,"('PCT_Population_20_24', -636543786371165.0)"
TOP DEATHS WEIGHT #4,"('DOMESTIC_MIG_2018', -365554276092818.4)"
TOP DEATHS WEIGHT #5,"('PCT_Population_25_29', -324117187849193.25)"
TOP DEATHS WEIGHT #6,"('PCT_Population_0_5', -291425752237937.4)"
TOP DEATHS WEIGHT #7,"('PCT_Population_30_34', -288541879726039.6)"
TOP DEATHS WEIGHT #8,"('NET_MIG_2018', 277722202730635.1)"
TOP DEATHS WEIGHT #9,"('PCT_Population_60_64', -265035553241091.0)"
TOP DEATHS WEIGHT #10,"('PCT_Population_15_19', -260909697934173.84)"
Records Used,5676
Counties Used,2839
