CATEGORY,US
TRAIN CASES SCORES,0.9631302605754701
TRAIN DEATHS SCORES,0.9780653018105431
TEST CASES SCORES,0.9492469136577216
TEST DEATHS SCORES,0.9667485096769077
TOP CASES WEIGHT #1,Population_60_64,14911.476181484975
TOP CASES WEIGHT #2,Not_Hispanic_White_Alone,14861.596997525423
TOP CASES WEIGHT #3,Population_35_39,-13522.98633787951
TOP CASES WEIGHT #4,CENSUS_2010_POP,-12217.717351163099
TOP CASES WEIGHT #5,POP_ESTIMATE_2018,-10444.849285295408
TOP CASES WEIGHT #6,Hispanic_Latino_Origin,9868.031320824859
TOP CASES WEIGHT #7,Population_40_44,9375.791249777476
TOP CASES WEIGHT #8,Population_55_59,-9363.132380857613
TOP CASES WEIGHT #9,Population_0_5,-8676.584154343805
TOP CASES WEIGHT #10,Population_75_79,8594.378310387674
TOP DEATHS WEIGHT #1,CENSUS_2010_POP,-1856.1014687471295
TOP DEATHS WEIGHT #2,Not_Hispanic_White_Alone,1602.2451841589912
TOP DEATHS WEIGHT #3,Population_60_64,1425.218433968909
TOP DEATHS WEIGHT #4,Hispanic_Latino_Origin,1033.7581889717708
TOP DEATHS WEIGHT #5,Population_55_59,-887.4172044409963
TOP DEATHS WEIGHT #6,POP_ESTIMATE_2018,-778.4396063533852
TOP DEATHS WEIGHT #7,Population_40_44,713.5603721925721
TOP DEATHS WEIGHT #8,Population_35_39,-709.6654354850283
TOP DEATHS WEIGHT #9,Black_Alone,679.7702712154975
TOP DEATHS WEIGHT #10,Population_0_5,-671.5320028673301
Records Used,83632
Counties Used,2842
